"Typ";"Nazwa";"Adres";"Kod pocztowy";"Miasto";"Długość geograficzna";"Szerokość geograficzna";"Godziny odbioru";"Uwagi"
"POCZTA_POLSKA";"FUP Mrągowo 1";"Osiedle Parkowe 16";"11-702";"Mrągowo";"21.294647216796875";"53.86691665649414";"[{""day"":""MONDAY"",""from"":""09:30"",""to"":""17:00""},{""day"":""TUESDAY"",""from"":""09:30"",""to"":""17:00""},{""day"":""WEDNESDAY"",""from"":""09:30"",""to"":""17:00""},{""day"":""THURSDAY"",""from"":""09:30"",""to"":""17:00""},{""day"":""FRIDAY"",""from"":""09:30"",""to"":""20:00""}]";
"POCZTA_POLSKA";"UP Tykocin";"11 Listopada 36";"16-080";"Tykocin";"22.78427505493164";"53.208255767822266";"[{""day"":""MONDAY"",""from"":""08:00"",""to"":""15:30""},{""day"":""TUESDAY"",""from"":""08:00"",""to"":""15:30""},{""day"":""WEDNESDAY"",""from"":""08:00"",""to"":""15:30""},{""day"":""THURSDAY"",""from"":""08:00"",""to"":""15:30""},{""day"":""FRIDAY"",""from"":""08:00"",""to"":""20:00""}]";
"POCZTA_POLSKA";"UP Władysławowo";"Towarowa 2";"84-120";"Władysławowo";"18.403215408325195";"54.792049407958984";"[{""day"":""SATURDAY"",""from"":""08:30"",""to"":""14:30""},{""day"":""WORKING"",""from"":""08:00"",""to"":""18:00""}]";
"POCZTA_POLSKA";"UP Poznań 41";"Starołęcka 42";"61-360";"Poznań";"16.932106018066406";"52.36904525756836";"[{""day"":""SATURDAY"",""from"":""08:00"",""to"":""14:00""},{""day"":""WORKING"",""from"":""08:00"",""to"":""20:00""}]";
"PACZKOMAT";"Paczkomat KOR02N";"Poznańska 87";"62-035";"Kórnik";"17.0774";"52.25588";"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]";"Przy markecie Netto"
"POCZTA_POLSKA";"UP Wyrzysk";"Pocztowa 7";"89-300";"Wyrzysk";"17.262300491333008";"53.15589904785156";"[{""day"":""SATURDAY"",""from"":""08:00"",""to"":""13:00""},{""day"":""WORKING"",""from"":""08:00"",""to"":""18:00""}]";
"POCZTA_POLSKA";"UP Białystok 4";"Lipowa 32";"15-428";"Białystok";"23.14814567565918";"53.13418960571289";"[{""day"":""MONDAY"",""from"":""08:00"",""to"":""20:00""},{""day"":""TUESDAY"",""from"":""08:00"",""to"":""18:00""},{""day"":""WEDNESDAY"",""from"":""08:00"",""to"":""18:00""},{""day"":""THURSDAY"",""from"":""08:00"",""to"":""18:00""},{""day"":""FRIDAY"",""from"":""08:00"",""to"":""18:00""}]";
"POCZTA_POLSKA_RUCH";"Kiosk/Salonik RUCH";"Plac Fryderyka Chopina 2";"37-200";"Przeworsk";"22.495100021362305";"50.059200286865234";"[{""day"":""SATURDAY"",""from"":""08:00"",""to"":""16:00""},{""day"":""SUNDAY"",""from"":""10:00"",""to"":""16:00""},{""day"":""WORKING"",""from"":""06:30"",""to"":""19:00""},{""day"":""HOLIDAY"",""from"":""10:00"",""to"":""16:00""}]";
"POCZTA_POLSKA";"UP Łomianki";"Warszawska 258";"05-092";"Łomianki";"20.88215446472168";"52.342674255371094";"[{""day"":""SATURDAY"",""from"":""08:00"",""to"":""14:00""},{""day"":""WORKING"",""from"":""08:00"",""to"":""20:00""}]";
"POCZTA_POLSKA";"UP Gniewino";"Pomorska 18";"84-250";"Gniewino";"18.01755714416504";"54.716888427734375";"[{""day"":""MONDAY"",""from"":""09:30"",""to"":""16:30""},{""day"":""TUESDAY"",""from"":""09:30"",""to"":""16:30""},{""day"":""WEDNESDAY"",""from"":""09:30"",""to"":""16:30""},{""day"":""THURSDAY"",""from"":""09:30"",""to"":""16:30""},{""day"":""FRIDAY"",""from"":""13:00"",""to"":""20:00""}]";
"POCZTA_POLSKA";"FUP Lubliniec 1";"Lubliniecka 7";"42-713";"Kochanowice";"18.748929977416992";"50.70579147338867";"[{""day"":""MONDAY"",""from"":""08:00"",""to"":""11:00""},{""day"":""MONDAY"",""from"":""11:30"",""to"":""15:00""},{""day"":""TUESDAY"",""from"":""08:00"",""to"":""11:00""},{""day"":""TUESDAY"",""from"":""11:30"",""to"":""15:00""},{""day"":""WEDNESDAY"",""from"":""11:30"",""to"":""15:00""},{""day"":""THURSDAY"",""from"":""08:00"",""to"":""11:00""},{""day"":""THURSDAY"",""from"":""11:30"",""to"":""15:00""},{""day"":""FRIDAY"",""from"":""13:00"",""to"":""18:00""},{""day"":""FRIDAY"",""from"":""18:30"",""to"":""20:00""}]";
"POCZTA_POLSKA";"UP Jastków";"Aleja Warszawska 51B";"21-002";"Panieńszczyzna";"22.43547821044922";"51.30385971069336";"[{""day"":""MONDAY"",""from"":""09:00"",""to"":""15:15""},{""day"":""TUESDAY"",""from"":""09:00"",""to"":""15:15""},{""day"":""WEDNESDAY"",""from"":""09:00"",""to"":""15:15""},{""day"":""THURSDAY"",""from"":""09:00"",""to"":""15:15""},{""day"":""FRIDAY"",""from"":""09:00"",""to"":""20:00""}]";
